Country Code,Statistic,2000,2001,2002,2003,2004,2005,2006,2007,2008
AFG,Male,16.44,16.62,16.54,16.42,16.33,16.1,15.95,15.76,15.53
AFG,Female,5.59,5.6,5.49,5.4,5.35,5.24,5.18,5.1,5.02
AGO,Male,25.43,25.02,24.16,23.96,24.19,23.51,23.45,23.06,22.66
AGO,Female,6.7,6.43,6.42,6.45,6.42,6.16,5.94,5.67,5.58
ALB,Male,6.86,7.11,7.34,7.52,7.76,7.73,7.58,7.36,7.49
ALB,Female,3.0,3.13,3.34,3.57,3.67,3.67,3.6,3.47,3.51
AND,Male,15.26,15.12,14.94,14.82,14.76,14.55,14.32,14.13,13.96
AND,Female,3.3,3.25,3.18,3.14,3.16,3.1,3.08,3.05,3.06
ARE,Male,5.86,5.75,5.72,6.13,6.61,6.75,6.82,6.73,6.38
ARE,Female,2.37,2.39,2.37,2.36,2.32,2.22,2.17,2.06,1.96
ARG,Female,4.63,4.66,4.62,4.55,4.3,4.19,4.15,4.22,4.15
ARG,Male,20.94,21.24,21.24,20.03,18.64,18.42,18.38,18.94,18.85
ARM,Male,6.27,6.68,7.2,7.56,8.63,10.0,11.6,11.99,13.06
ARM,Female,1.62,1.64,1.67,1.81,2.08,2.39,2.81,2.9,3.21
ASM,Female,3.17,3.27,3.28,3.24,3.19,3.12,3.09,3.08,3.2
ASM,Male,10.0,9.99,9.98,10.01,9.82,9.62,9.51,9.67,9.8
ATG,Female,0.9,0.89,0.89,0.88,0.88,0.87,0.86,0.85,0.85
ATG,Male,4.7,4.64,4.63,4.66,4.65,4.67,4.64,4.63,4.7
AUS,Female,5.12,4.89,4.87,4.76,4.69,4.56,4.69,4.89,4.87
AUS,Male,20.07,18.99,18.13,17.47,16.89,16.53,16.07,16.43,16.76
AUT,Female,7.64,7.22,7.01,7.01,6.43,6.32,5.89,5.8,5.68
AUT,Male,25.56,24.87,24.58,23.56,23.18,22.37,21.31,20.98,20.24
AZE,Female,1.27,1.46,1.54,1.71,1.84,1.93,2.0,2.13,2.04
AZE,Male,5.34,5.95,6.26,6.7,7.19,7.64,8.06,8.54,8.21
BDI,Female,11.05,10.26,9.59,9.06,8.64,8.2,7.7,7.23,6.87
BDI,Male,25.92,24.89,24.23,23.78,23.59,23.47,22.74,22.36,21.93
BEL,Female,9.56,9.32,9.09,8.75,8.38,8.35,8.25,8.65,8.58
BEL,Male,28.2,27.85,27.17,26.53,25.42,25.11,24.17,24.21,24.8
BEN,Male,18.77,18.9,19.0,18.93,18.78,18.61,18.51,18.38,18.25
BEN,Female,6.53,6.48,6.43,6.35,6.28,6.2,6.15,6.1,6.09
BFA,Male,20.74,20.59,20.42,20.41,20.4,20.32,20.42,20.41,20.45
BFA,Female,6.77,6.59,6.42,6.3,6.19,6.03,5.93,5.79,5.66
BGD,Female,7.47,7.22,7.18,7.11,7.32,7.75,8.1,8.36,8.39
BGD,Male,8.16,7.93,7.53,7.13,6.99,6.81,6.82,6.85,6.8
BGR,Male,24.12,23.3,22.23,20.88,19.84,19.1,18.63,17.74,17.37
BGR,Female,7.97,7.31,6.77,6.2,5.82,5.42,5.09,4.82,4.52
BHR,Male,9.95,10.18,10.28,10.51,10.78,10.51,9.75,9.21,8.51
BHR,Female,3.09,3.33,3.44,3.48,3.54,3.45,3.3,3.03,2.81
BHS,Female,1.07,1.05,1.01,1.02,0.99,0.97,0.96,0.99,0.98
BHS,Male,5.63,5.48,5.3,5.26,5.23,5.16,5.23,5.22,5.33
BIH,Male,14.46,13.78,13.07,12.26,11.44,11.65,11.17,11.59,11.08
BIH,Female,3.38,3.19,3.03,2.87,2.75,2.61,2.61,2.66,2.42
BLR,Female,9.34,9.59,10.39,10.1,10.17,10.41,9.93,9.31,9.2
BLR,Male,62.04,64.56,67.59,65.38,62.79,63.7,60.1,54.98,55.42
BLZ,Male,15.49,15.24,14.55,14.26,14.11,13.69,13.33,13.02,12.84
BLZ,Female,2.57,2.55,2.52,2.46,2.4,2.33,2.22,2.19,2.15
BMU,Female,1.69,1.57,1.48,1.39,1.3,1.23,1.17,1.12,1.09
BMU,Male,6.98,6.82,6.69,6.68,6.65,6.63,6.59,6.56,6.58
BOL,Female,5.79,5.61,5.6,5.42,5.33,5.2,5.07,5.06,4.94
